Timestamp,Presynaptic,Postsynaptic,Weight
19:52:06,RMDDR,RMDVR,1
19:52:06,RIAR,SMDVL,13
19:52:06,SMDVL,MVL03,1
19:52:06,RMDVL,MVR05,1
19:52:06,RMDVR,MVL05,1
19:52:06,RMDDL,SMDDL,1
19:52:06,SMDDL,MDL04,1
19:52:06,RIAR,SMDVR,7
19:52:06,SMDDR,MDL06,1
19:52:06,SMDVR,MVL02,1
19:52:06,RMDDR,SAADR,1
19:52:06,RMDVL,MVR06,1
19:52:06,SMDDR,MDL08,1
19:52:06,RMDDR,SMDDR,1
19:52:06,SMDVR,MVL03,1
19:52:06,SMDDL,MDL06,1
19:52:06,RMDVR,MVL06,1
19:52:06,SMDVL,MVL06,1
19:52:06,SMDDR,MDR04,1
19:52:06,RMDVL,MVR08,1
19:52:06,SMDVR,MVL04,1
19:52:06,RMDDR,URYDL,1
19:52:06,SMDDL,MDL08,1
19:52:06,SMDVL,MVR02,1
19:52:06,SMDDR,MDR06,1
19:52:06,SMDVR,MVR07,1
19:52:06,RMDVL,OLQDL,1
19:52:06,SMDDL,MDR02,1
19:52:06,RMDVR,MVL08,1
19:52:06,SMDDR,MVR02,1
19:52:06,RMDVL,RMDDL,1
19:52:06,SMDVL,MVR03,1
19:52:06,SMDVR,RIAL,7
19:52:06,SMDVL,MVR04,1
19:52:06,SMDDR,RIAL,2
19:52:06,SMDVR,RIAR,5
19:52:06,SMDDL,MDR03,1
19:52:06,RMDVL,RMDDR,6
19:52:06,RMDVR,MVR04,1
19:52:06,SMDVL,MVR06,1
19:52:06,SMDDR,RIAR,1
19:52:06,SMDVR,RIBL,2
19:52:06,SMDDL,MDR04,1
19:52:06,RMDVL,RMDL,1
19:52:06,RMDVR,MVR06,1
19:52:06,SMDVL,PVR,1
19:52:06,SMDVR,RIVR,1
19:52:06,SMDDL,MDR05,1
19:52:06,SMDDR,RIBR,1
19:52:06,RMDVL,RMDVR,1
19:52:06,SMDVL,RIAL,3
19:52:06,SMDDR,RIS,1
19:52:06,SMDDL,MDR06,1
19:52:06,RMDVL,SAAVL,1
19:52:06,SMDVL,RIAR,8
19:52:06,RMDVR,MVR08,1
19:52:06,SMDVR,RIVR,2
19:52:06,RMDVL,SMDVL,1
19:52:06,SMDDL,MDR07,1
19:52:06,SMDVL,RIBR,2
19:52:06,SMDDR,RMDDR,1
19:52:06,RMDVR,OLQDR,1
19:52:06,SMDVR,RMDDL,1
19:52:06,SMDDL,MVL02,1
19:52:06,RMDVR,RMDDL,4
19:52:06,SMDVL,RIS,1
19:52:06,SMDDR,VD1,1
19:52:06,SMDVR,RMDVR,1
19:52:06,SMDDL,MVL04,1
19:52:06,RMDVR,RMDDR,1
19:52:06,SMDDL,RIAL,1
19:52:06,SMDVR,SMDDL,2
19:52:06,SMDVL,RIVL,1
19:52:06,SMDDL,RIAR,1
19:52:06,RMDVR,RMDR,1
19:52:06,SMDVR,SMDVL,1
19:52:06,RIAR,CEPVR,1
19:52:06,SMDVL,RIVL,1
19:52:06,RMDVR,RMDVL,1
19:52:06,RIAR,IL1R,1
19:52:06,SMDDL,RIBL,1
19:52:07,RIAR,RIAL,4
19:52:07,SMDVR,VB1,1
19:52:07,RMDVR,SAAVR,1
19:52:07,SMDDL,RIBR,1
19:52:07,SMDVL,RMDDR,1
19:52:07,RIAR,RIVL,1
19:52:07,RIAL,CEPVL,1
19:52:07,SMDDL,RIS,1
19:52:07,RMDVR,SIBDR,1
19:52:07,SMDVL,RMDVL,1
19:52:07,RIAR,RMDDL,10
19:52:07,RIAL,RIAR,1
19:52:07,RMDVR,SIBVR,1
19:52:07,RIAR,RMDDR,11
19:52:07,SMDVL,SMDDR,4
19:52:07,SMDDL,RMDDL,1
19:52:07,RIAL,RIVL,2
