PreSynaptic,PostSynaptic,Weight
SMDVR,MVL03,1
SMDDL,MDL06,1
RMDVR,MVL06,1
SMDVL,MVL06,1
SMDDR,MDR04,1
RMDVL,MVR08,1
SMDVR,MVL04,1
RMDDR,URYDL,1
SMDDL,MDL08,1
SMDVL,MVR02,1
SMDDR,MDR06,1
SMDVR,MVR07,1
RMDVL,OLQDL,1
SMDDL,MDR02,1
RMDVR,MVL08,1
SMDDR,MVR02,1
RMDVL,RMDDL,1
SMDVL,MVR03,1
SMDVR,RIAL,7
SMDVL,MVR04,1
SMDDR,RIAL,2
SMDVR,RIAR,5
SMDDL,MDR03,1
RMDVL,RMDDR,6
RMDVR,MVR04,1
SMDVL,MVR06,1
SMDDR,RIAR,1
SMDVR,RIBL,2
SMDDL,MDR04,1
RMDVL,RMDL,1
RMDVR,MVR06,1
SMDVL,PVR,1
SMDVR,RIVR,2
SMDDL,MDR05,1
SMDDR,RIBR,1
RMDVL,RMDVR,1
SMDVL,RIAL,3
SMDDR,RIS,1
SMDDL,MDR06,1
RMDVL,SAAVL,1
SMDVL,RIAR,8
RMDVR,MVR08,1
RMDVL,SMDVL,1
SMDDL,MDR07,1
SMDVL,RIBR,2
SMDDR,RMDDR,1
RMDVR,OLQDR,1
SMDVR,RMDDL,1
SMDDL,MVL02,1
RMDVR,RMDDL,4
SMDVL,RIS,1
SMDDR,VD1,1
SMDVR,RMDVR,1
SMDDL,MVL04,1
RMDVR,RMDDR,1
SMDDL,RIAL,1
SMDVR,SMDDL,2
SMDVL,RIVL,1
SMDDL,RIAR,1
RMDVR,RMDR,1
SMDVR,SMDVL,1
RMDVR,RMDVL,1
SMDDL,RIBL,1
SMDVR,VB1,1
RMDVR,SAAVR,1
SMDDL,RIBR,1
SMDVL,RMDDR,1
SMDDL,RIS,1
RMDVR,SIBDR,1
SMDVL,RMDVL,1
RMDVR,SIBVR,1
SMDVL,SMDDR,4
SMDDL,RMDDL,1
SMDVL,SMDVR,1
RMDVR,SMDVR,1
SMDDL,SMDVR,2
RMDL,MDL03,1
RMDL,MDL05,2
RMDL,MDR01,1
RMDL,MDR03,1
RMDL,MVL01,1
RMDL,MVR01,1
RMDL,MVR03,1
RMDL,MVR05,2
RMDL,MVR07,1
RMDL,OLLR,2
RMDL,RIAL,4
RMDL,RIAR,3
RMDL,RMDDL,1
RMDL,RMDDR,1
RMDL,RMDR,3
RMDR,AVKL,1
RMDL,RMDVL,1
RMDR,MDL03,1
RMDL,RMER,1
RMDR,MDL05,1
RMDL,RMFL,1
RMDR,MDR05,1
RMDR,MVL03,1
RMDR,MVL05,1
RMDR,RIAL,3
RMDR,RIAR,7
RMDR,RIMR,2
RMDR,RIS,1
RMDR,RMDDL,1
RMDR,RMDL,1
RMDR,RMDVR,1
Nose,ASHL,2
Nose,ASHR,2
Nose,FLPL,1
Nose,FLPR,1
Nose,OLQDL,1
Nose,OLQDR,1
Nose,OLQVL,1
Nose,OLQVR,1
ASJL,ASJR,1
ASIL,AIAL,2
AWAL,ADAL,1
ASIR,AIAL,1
AWCL,AIAL,2
ASJR,ASJL,1
AWCR,AIAR,1
ASIR,AIAR,2
AWAR,ADFR,3
ASJR,ASKR,4
AWCL,AIAR,4
AWCR,AIBR,4
ASJR,HSNR,1
ASJL,ASKL,4
AWAL,AFDL,5
AWAR,AFDR,7
ASJL,HSNL,1
ASJR,PVQR,13
AWCL,AIBL,1
ASIR,AIBR,1
AIAR,ADAR,1
ASJL,HSNR,1
AWCR,AIYL,4
AWAL,AIAL,1
AWAR,AIAR,1
AWCL,AIBR,1
ASJL,PVQL,14
ASIR,ASEL,2
AWAL,AIYL,1
AWCR,AIYR,9
ASIL,AIBL,1
AWAR,AIYR,2
AWCR,ASEL,1
AIAR,ADFR,1
AWAR,AIZR,1
AWCL,AIYL,10
ASIL,AIYL,2
AIZR,AIAR,1
AIYL,AIYR,1
ASIR,ASHR,1
AIAR,ADLR,2
ASIL,AIZL,1
AWCR,ASGR,1
AWCL,ASEL,1
ASIR,ASIL,1
AIYL,AIZL,13
AIZR,AIBL,8
AIAR,AIAL,1
AIYL,AWAL,3
AWCL,AVAL,1
ASIR,AWCL,1
ASIL,ASER,1
AWAR,ASEL,1
AWCR,AWCL,5
AIAR,AIBR,14
AIYL,AWCL,1
AIZR,AIBR,1
AWAL,AIZL,10
AIZL,AIAL,3
ASIR,AWCR,1
AWCL,AWCR,1
ASIL,ASIR,1
AWAR,ASER,2
AIAL,ADAL,1
AIAR,AIZR,1
AIYL,AWCR,1
AWAL,ASEL,4
AIZR,AIZL,2
AIZL,AIBL,2
ASIL,ASKL,2
AWCL,RIAL,3
AIYL,HSNR,1
AWAL,ASGL,1
AWAR,AUAR,1
AIAR,ASER,1
ASIL,AWCL,1
AIZR,ASGR,1
AIAL,AIAR,1
AIZL,AIBR,8
AWAR,AWAL,1
AIBR,AFDR,1
AIYL,RIAL,7
ASIL,AWCR,1
AWAL,AWAR,1
AWAR,AWBR,1
AIAR,ASGR,1
AIAL,AIBL,10
AIBL,AFDL,1
AIYL,RIBL,4
AIZR,ASHR,1
AWAL,AWBL,1
AIZL,AIZR,2
ASIL,RIBL,1
AIAR,ASIR,2
